File,Issue,Location,Category,Severity,Problem,Recommended Fix,Human Verification
05-hydraulic-data.mdx,14,"Lines 28-29, 31, 42",Citation,Major,"Five <Citation> components used without preceding author-year text (HECRAS2024, FLO2022, DHI2018, ADH2024, ADCIRC2018)","Add author-year text before each Citation (e.g. ""(HEC, 2024) <Citation .../>"")",Yes
05-hydraulic-data.mdx,15,"Lines 133, 252, 260, 318, 414, 423, 455, 552, 561, 603, 699, 708, 750, 833, 842, 937, 1033, 1042, 1071, 1081, 1153, 1173, 1203, 1229, 1270, 1420, 1421, 1429, 1625",MDX,Major,"29 <a href> elements used for inter-document and intra-document navigation with hardcoded base URL paths","Replace all with <Link to=""...""> components or markdown [text](#anchor) for same-page links",No
05-hydraulic-data.mdx,16,Line 122,Grammar,Minor,"Uses ""an LifeSim study"" instead of ""a LifeSim study""","Change ""an LifeSim"" to ""a LifeSim""",No
06-structure-inventories.mdx,17,Line 34,Grammar,Minor,"Subject-verb agreement: ""This chapter describe the ways...""","Change ""describe"" to ""describes""",No
06-structure-inventories.mdx,18,Line 33,Citation,Major,"(NSI) <Citation citationKey=""NSI""/> renders as footnote number without year context; NSI entry in bib.json has no year","Add author text: (USACE, n.d.) <Citation citationKey=""NSI""/> or incorporate full name with citation",Yes
06-structure-inventories.mdx,19,Line 446,MDX,Suggestion,"External link uses non-descriptive ""here"" as link text — poor for accessibility","Change link text from ""here"" to ""NSI Technical Documentation""",No
06-structure-inventories.mdx,20,"Lines 1122, 1719",MDX,Major,"Two <a href> elements link to lifesim-interface#customizing-plots using hardcoded paths","Replace with <Link to=""/desktop-applications/lifesim/users-guide/v1.0/lifesim-interface#customizing-plots-and-plotting-tools"">",No
06-structure-inventories.mdx,21,Line 536,Grammar,Minor,"Word choice error: ""respectfully"" should be ""respectively""","Change ""respectfully"" to ""respectively""",No
07-emergency-planning-data.mdx,22,Line 26,Grammar,Minor,"Incorrect Latin abbreviation: ""et. al."" — et is a complete word and takes no period","Change ""et. al."" to ""et al.""",No
07-emergency-planning-data.mdx,23,"Lines 26, 36, 49",Citation,Major,"Three citation patterns missing year text: Sorensen refs lack year numbers (2014a/b/c, 2015); one standalone Citation with no author context","Add year text: Sorensen et al. (2014a, 2014b, 2014c); add author-year to standalone Citation; add (2015) to Sorensen & Mileti",Yes
07-emergency-planning-data.mdx,24,"Lines 856, 913, 948",MDX,Major,"Three <a href> elements link to warning-and-protective-action-data-editor using hardcoded paths","Replace with <Link> components or markdown [text](#anchor) for same-page links",No
08-road-network-data.mdx,25,"Lines 211, 367",Citation,Major,"OpenStreetMap <Citation citationKey=""OSM""/> has no year text; OSM bib entry has no year","Add year or n.d. text: OpenStreetMap (OSM Foundation, n.d.) <Citation citationKey=""OSM""/>",Yes
08-road-network-data.mdx,26,"Lines 86, 307, 310",MDX,Major,"Three <a href> elements link to lifesim-interface, appendix-map-preferences, and road-network-data sections using hardcoded paths","Replace with Docusaurus <Link> components",No
09-destination-data.mdx,27,Line 27,MDX,Suggestion,"External link to FEMA uses <a href> — acceptable for external URLs; noted for completeness","No change needed; target=""_blank"" and rel=""noopener noreferrer"" are present",No
10-agricultural-data.mdx,28,"Lines 37, 265",MDX,Suggestion,"External links to USDA NASS website use <a href> — acceptable for external URLs","No change needed for external links",No
12-alternatives.mdx,29,"Lines 138, 156, 169, 190, 281, 314, 574, 695",MDX,Major,"Eight <a href> elements link to various internal sections (hydraulic-data, emergency-planning-data, road-network-data, alternatives, lifesim-interface)","Replace all with Docusaurus <Link> components using relative paths",No
14-viewing-lifesim-results.mdx,30,"Lines 612, 1028, 1240",MDX,Major,"Three <a href> elements link to internal sections (simulations#create-a-simulation, appendix-map-preferences#feature-draw-properties-tab)","Replace with Docusaurus <Link> components",No
18-appendix-map-preferences.mdx,31,"Lines 173, 959, 961, 1713, 1790, 1803, 1822, 1834, 1854, 1934, 1936, 2035, 2037, 2135, 2137, 2214, 2216, 2282, 2284, 2420, 2422, 2869, 3281, 3454, 3838, 3957, 3971, 3991, 4005, 4011, 4079, 4725, 4808",MDX,Major,"33 <a href> elements used for intra-document and inter-document navigation throughout Appendix B with hardcoded paths","Replace all internal <a href> with <Link> components; use markdown [text](#anchor) for same-page links",No
19-appendix-editing-road-network-data-for-use-in-lifesim.mdx,32,"Lines 28, 113, 249, 368",MDX,Major,"Four <a href> elements link to Appendix B sections using hardcoded paths","Replace with Docusaurus <Link> components",No
All files,33,Throughout all files,Editorial,Suggestion,"Mix of markdown links [text](./file.mdx#anchor) and <a href> for internal linking creates inconsistency","Establish single pattern: <Link> for cross-page navigation and markdown [text](#anchor) for same-page anchors",No
"03-installing-and-starting-lifesim.mdx, 04-lifesim-interface.mdx",34,"03: line 91; 04: lines 90, 369, 1127",Editorial,Suggestion,"Several JSX comments contain reviewer questions and TODO notes that should be resolved before publication","Review each comment, resolve the question or implement the TODO, then remove",Yes
"04-lifesim-interface.mdx, 05-hydraulic-data.mdx",35,Multiple files,Editorial,Suggestion,"Repeated ""an LifeSim"" grammar pattern throughout document — likely from source PDF","Perform global find-and-replace of ""an LifeSim"" with ""a LifeSim"" across all MDX files",No
06-structure-inventories.mdx,36,Line 446,Editorial,Suggestion,"Link text ""here"" is non-descriptive — poor for accessibility and screen readers","Change to descriptive text like ""NSI Technical Documentation""",No
