"Issue","File","Location","Category","Severity","Problem","Recommended Fix","Fix Applied","Human Verification Required","Addressed?"
"11","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/06-base-gradation.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/06-base-gradation.mdx:37","Citation","Major","The PDF sentence states that broadly graded soils are defined by ASTM D2487, but the MDX only includes a citation component without the ASTM D2487 text.","Add the ASTM D2487 text (e.g., ""ASTM D2487"") before the <Citation citationKey=""ASTM2487"" /> to match the PDF wording.","Yes","No","Yes"
"12","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/06-base-gradation.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/06-base-gradation.mdx:105","Citation","Major","The PDF caption includes author-year text for USBR 2011, but the MDX caption lacks both the author-year text and the required <Citation>.","Add the author-year text USBR (2011) to the Figure 17 caption and include <Citation citationKey=""USBR2011"" />.","Yes","No","Yes"
"13","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/07-design-for-particle-retention.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/07-design-for-particle-retention.mdx:23","Citation","Major","The PDF uses Foster and Fell (2001), but the MDX only includes a <Citation> without the author-year text.","Update the text to Foster and Fell (2001) and keep <Citation citationKey=""FosterFell2001"" />.","Yes","No","Yes"
"14","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/07-design-for-particle-retention.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/07-design-for-particle-retention.mdx:54","Citation","Major","The PDF uses Foster and Fell (2001) and Sherard et al. (1984), but the MDX only includes <Citation> tags without the author-year text.","Update the sentence to include Foster and Fell (2001) and Sherard et al. (1984), keeping the existing citations.","Yes","No","Yes"
"15","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/07-design-for-particle-retention.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/07-design-for-particle-retention.mdx:58","Citation","Major","The PDF uses Sherard and Dunnigan (1985), but the MDX only includes a <Citation> without the author-year text.","Update the text to Sherard and Dunnigan (1985) and keep <Citation citationKey=""Sherard1985"" />.","Yes","No","Yes"
"16","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/07-design-for-particle-retention.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/07-design-for-particle-retention.mdx:59","Citation","Major","The PDF uses Foster and Fell (2001), but the MDX only includes a <Citation> without the author-year text.","Update the text to Foster and Fell (2001) and keep <Citation citationKey=""FosterFell2001"" />.","Yes","No","Yes"
"17","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/07-design-for-particle-retention.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/07-design-for-particle-retention.mdx:61","Citation","Major","The PDF uses FEMA (2011), but the MDX only includes a <Citation> without the author-year text.","Update the text to FEMA (2011) and keep <Citation citationKey=""FEMA2011"" />.","Yes","No","Yes"
"18","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/07-design-for-particle-retention.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/07-design-for-particle-retention.mdx:70","Citation","Major","The PDF uses Foster and Fell (2001), but the MDX only includes a <Citation> without the author-year text.","Update the text to Foster and Fell (2001) and keep <Citation citationKey=""FosterFell2001"" />.","Yes","No","Yes"
"19","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/08-foster-and-fell.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/08-foster-and-fell.mdx:23","Citation","Major","The PDF uses Foster and Fell (2001), but the MDX only includes a <Citation> without the author-year text.","Update the text to Foster and Fell (2001) and keep <Citation citationKey=""FosterFell2001"" />.","Yes","No","Yes"
"20","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/08-foster-and-fell.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/08-foster-and-fell.mdx:27","Citation","Major","The PDF uses Foster and Fell (2001), but the MDX only includes a <Citation> without the author-year text.","Update the text to Foster and Fell (2001) and keep <Citation citationKey=""FosterFell2001"" />.","Yes","No","Yes"
"21","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/08-foster-and-fell.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/08-foster-and-fell.mdx:41","Citation","Major","The PDF caption includes adapted from Foster and Fell (2001), but the MDX caption lacks the author-year text and <Citation>.","Add adapted from Foster and Fell (2001) to the caption and include <Citation citationKey=""FosterFell2001"" />.","Yes","No","Yes"
"22","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/08-foster-and-fell.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/08-foster-and-fell.mdx:45","Citation","Major","The PDF uses Foster and Fell (2001), but the MDX only includes a <Citation> without the author-year text.","Update the text to Foster and Fell (2001) and keep <Citation citationKey=""FosterFell2001"" />.","Yes","No","Yes"
"23","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/08-foster-and-fell.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/08-foster-and-fell.mdx:51","Citation","Major","The PDF uses FEMA (2011), but the MDX only includes a <Citation> without the author-year text.","Update the text to FEMA (2011) and keep <Citation citationKey=""FEMA2011"" />.","Yes","No","Yes"
"24","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/08-foster-and-fell.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/08-foster-and-fell.mdx:57","Citation","Major","The PDF uses Fell et al. (2008), but the MDX only includes a <Citation> without the author-year text.","Update the text to Fell et al. (2008) and keep <Citation citationKey=""Toolbox2008"" />.","Yes","No","Yes"
"25","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/08-foster-and-fell.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/08-foster-and-fell.mdx:69","Citation","Major","The PDF uses Foster and Fell (2001), but the MDX only includes a <Citation> without the author-year text.","Update the text to Foster and Fell (2001) and keep <Citation citationKey=""FosterFell2001"" />.","Yes","No","Yes"
"26","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/08-foster-and-fell.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/08-foster-and-fell.mdx:106","Citation","Major","The PDF uses Foster and Fell (2001), but the MDX only includes a <Citation> without the author-year text.","Update the text to Foster and Fell (2001) and keep <Citation citationKey=""FosterFell2001"" />.","Yes","No","Yes"
"27","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/08-foster-and-fell.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/08-foster-and-fell.mdx:114","Figure","Major","The PDF caption is Step 4 of Foster and Fell worksheet: Continuing erosion boundary, but the MDX caption repeats the No-erosion boundary text.","Update the Figure 28 caption to Step 4 of Foster and Fell worksheet: Continuing erosion boundary.","Yes","No","Yes"
"28","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/08-foster-and-fell.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/08-foster-and-fell.mdx:119","Citation","Major","The PDF uses Foster and Fell (2001), but the MDX only includes a <Citation> without the author-year text.","Update the text to Foster and Fell (2001) and keep <Citation citationKey=""FosterFell2001"" />.","Yes","No","Yes"
"29","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/08-foster-and-fell.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/08-foster-and-fell.mdx:122","Citation","Major","The PDF uses Foster and Fell (2001) and Fell et al. (2008), but the MDX only includes <Citation> tags without the author-year text.","Update the sentence to include both author-year texts and keep the existing citations.","Yes","No","Yes"
"30","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/08-foster-and-fell.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/08-foster-and-fell.mdx:129","Citation","Major","The PDF caption includes adapted from Fell et al. (2008), but the MDX caption lacks the author-year text and <Citation>.","Add adapted from Fell et al. (2008) to the caption and include <Citation citationKey=""Toolbox2008"" />.","Yes","No","Yes"
"31","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/08-foster-and-fell.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/08-foster-and-fell.mdx:149","Citation","Major","The PDF uses Fell et al. (2008), but the MDX only includes a <Citation> without the author-year text.","Update the text to Fell et al. (2008) and keep <Citation citationKey=""Toolbox2008"" />.","Yes","No","Yes"
"32","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/08-foster-and-fell.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/08-foster-and-fell.mdx:174","Citation","Major","The PDF uses Fell et al. (2008), but the MDX only includes a <Citation> without the author-year text.","Update the text to Fell et al. (2008) and keep <Citation citationKey=""Toolbox2008"" />.","Yes","No","Yes"
"33","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/10-constricted-exit.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/10-constricted-exit.mdx:67","Citation","Major","The PDF uses Fell and Foster (2023), but the MDX only includes a <Citation> without the author-year text.","Update the text to Fell and Foster (2023) and keep <Citation citationKey=""Toolbox2023"" />.","Yes","No","Yes"
"34","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/10-constricted-exit.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/10-constricted-exit.mdx:68","Citation","Major","The PDF uses Sherard et al. (1984), but the MDX only includes a <Citation> without the author-year text.","Update the text to Sherard et al. (1984) and keep <Citation citationKey=""Sherard1984"" />.","Yes","No","Yes"
"35","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/10-constricted-exit.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/10-constricted-exit.mdx:70","Citation","Major","The PDF uses Foster and Fell (2001), but the MDX only includes a <Citation> without the author-year text.","Update the text to Foster and Fell (2001) and keep <Citation citationKey=""FosterFell2001"" />.","Yes","No","Yes"
"36","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/10-constricted-exit.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/10-constricted-exit.mdx:88","Citation","Major","The PDF caption includes Fell and Foster (2023), but the MDX table caption lacks the author-year text and <Citation>.","Add Fell and Foster (2023) to the table caption and include <Citation citationKey=""Toolbox2023"" />.","Yes","No","Yes"
"37","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/10-constricted-exit.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/10-constricted-exit.mdx:102","Citation","Major","The PDF uses Fell and Foster (2023), but the MDX only includes a <Citation> without the author-year text.","Update the text to Fell and Foster (2023) and keep <Citation citationKey=""Toolbox2023"" />.","Yes","No","Yes"
"38","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/11-permeability.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/11-permeability.mdx:30","Citation","Major","The PDF uses FEMA (2011), but the MDX only includes a <Citation> without the author-year text.","Update the text to FEMA (2011) and keep <Citation citationKey=""FEMA2011"" />.","Yes","No","Yes"
"39","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/11-permeability.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/11-permeability.mdx:58","Citation","Major","The PDF uses USACE (2005), but the MDX only includes a <Citation> without the author-year text.","Update the text to USACE (2005) and keep <Citation citationKey=""USACE2005"" />.","Yes","No","Yes"
"40","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/11-permeability.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/11-permeability.mdx:59","Citation","Major","The PDF uses USBR (2011), but the MDX only includes a <Citation> without the author-year text.","Update the text to USBR (2011) and keep <Citation citationKey=""USBR2011"" />.","Yes","No","Yes"
"41","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/11-permeability.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/11-permeability.mdx:60","Citation","Major","The PDF uses NRCS (2017), but the MDX only includes a <Citation> without the author-year text.","Update the text to NRCS (2017) and keep <Citation citationKey=""USDA2017"" />.","Yes","No","Yes"
"42","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/13-appendix-acronyms.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/13-appendix-acronyms.mdx:34","Text","Major","NRCS is expanded as Natural Resource Conservation Center, but the PDF refers to Natural Resources Conservation Service.","Update the NRCS expansion to Natural Resources Conservation Service.","Yes","No","Yes"
