Issue,File,Location,Category,Severity,Problem,Recommended Fix,Fix Applied,Human Verification Required
11,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:483,Citation,Major,"The PDF shows Bonds 2017 here, but the MDX only includes <Citation citationKey=""Bonds2017"" /> without the raw author-year text.","Add the raw author-year text (e.g., ""Bonds 2017"") adjacent to the citation component.",No,No
12,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:491,Citation,Major,"The PDF cites Gabriel and Moran 1998 here, but the MDX only includes the raw author-year text without a <Citation> component.","Add <Citation citationKey=""GabrielMoran1998"" /> immediately after the Gabriel and Moran 1998 text.",No,No
13,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:494,Citation,Major,"The PDF cites Horton et al. 2006 here, but the MDX only includes the raw author-year text without a <Citation> component.","Add <Citation citationKey=""HortonEtAl2006"" /> immediately after the Horton et al. 2006 text.",No,No
14,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:494,Citation,Major,"The PDF shows Kroon et al. 2004 here, but the MDX only includes <Citation citationKey=""Kroon2004"" /> without the raw author-year text.","Add the raw author-year text (e.g., ""Kroon et al. 2004"") adjacent to the citation component.",No,No
15,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:503,Citation,Major,"The PDF cites Olive et al. 1989 here, but the MDX only includes the raw author-year text without a <Citation> component.","Add <Citation citationKey=""OliveEtAl1989"" /> immediately after the Olive et al. 1989 text.",No,No
16,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:505,Citation,Major,"The PDF cites Gabriel and Moran 1998 here, but the MDX only includes the raw author-year text without a <Citation> component.","Add <Citation citationKey=""GabrielMoran1998"" /> immediately after the Gabriel and Moran 1998 text.",No,No
17,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:513,Citation,Major,"The PDF cites Gabriel and Moran 1998 here, but the MDX only includes the raw author-year text without a <Citation> component.","Add <Citation citationKey=""GabrielMoran1998"" /> immediately after the Gabriel and Moran 1998 text.",No,No
18,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:594,Figure,Minor,"The alt text contains typos (""worlsheet"" and ""pip"") and does not match the PDF wording.","Update the alt text to ""Step 7 of Steel and Aluminum pipe worksheet: Pipe wall thickness using pipe diameter schedule.""",No,No
19,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:595,Figure,Major,"The caption reads ""Step 9 of Steel and Aluminum pipe worksheet: Material loss rate"" but the PDF Figure 21 caption is ""Step 7 ... Pipe wall thickness using pipe diameter schedule.""","Update the caption to match the PDF wording for Figure 21.",No,No
20,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:603,Citation,Major,"The PDF lists Bednar 1989 here, but the MDX only includes <Citation citationKey=""Bednar1989"" /> without the raw author-year text.","Add the raw author-year text (e.g., ""Bednar 1989"") adjacent to the citation component.",No,No
21,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:602,Citation,Major,"The PDF cites Ault and Ellor 2000 here, but the MDX only includes the raw author-year text without a <Citation> component.","Add <Citation citationKey=""AultEllor2000"" /> immediately after the Ault and Ellor (2000) text.",No,No
22,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:603,Citation,Major,"The PDF cites Bellair and Ewing 1984 here, but the MDX only includes the raw author-year text without a <Citation> component.","Add <Citation citationKey=""BellairEwing1984"" /> immediately after the Bellair and Ewing (1984) text.",No,No
23,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:603,Citation,Major,"The PDF cites DeCou and Davies 2007 here, but the MDX only includes the raw author-year text without a <Citation> component.","Add <Citation citationKey=""DeCouDavies2007"" /> immediately after the DeCou and Davies (2007) text.",No,No
24,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:603,Citation,Major,"The PDF cites Gabriel and Moran 1998 here, but the MDX only includes the raw author-year text without a <Citation> component.","Add <Citation citationKey=""GabrielMoran1998"" /> immediately after the Gabriel and Moran (1998) text.",No,No
25,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:603,Citation,Major,"The PDF cites Idaho Department of Highways 1965 here, but the MDX only includes the raw author-year text without a <Citation> component.","Add <Citation citationKey=""IdahoHighways1965"" /> immediately after the Idaho Department of Highways (1965) text.",No,No
26,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:604,Citation,Major,"The PDF lists Jacobs 1982 here, but the MDX only includes <Citation citationKey=""Jacobs1982"" /> without the raw author-year text.","Add the raw author-year text (e.g., ""Jacobs 1982"") adjacent to the citation component.",No,No
27,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:604,Citation,Major,"The PDF lists Kill 1969 here, but the MDX only includes <Citation citationKey=""Kill1969"" /> without the raw author-year text.","Add the raw author-year text (e.g., ""Kill 1969"") adjacent to the citation component.",No,No
28,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:604,Citation,Major,"The PDF lists Malcom 1993 here, but the MDX only includes <Citation citationKey=""Malcom1993"" /> without the raw author-year text.","Add the raw author-year text (e.g., ""Malcom 1993"") adjacent to the citation component.",No,No
29,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:605,Citation,Major,"The PDF lists Meacham 1982 here, but the MDX only includes <Citation citationKey=""Meacham1982"" /> without the raw author-year text.","Add the raw author-year text (e.g., ""Meacham 1982"") adjacent to the citation component.",No,No
30,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:605,Citation,Major,"The PDF cites Missouri Highway and Transportation Department 1990 here, but the MDX only includes the raw author-year text without a <Citation> component.","Add <Citation citationKey=""MoDOT1990"" /> immediately after the Missouri Highway and Transportation Department (1990) text.",No,No
31,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:605,Citation,Major,"The PDF cites Potter et al. 1991 here, but the MDX only includes the raw author-year text without a <Citation> component.","Add <Citation citationKey=""PotterLewandowskiWhite1991"" /> immediately after the Potter et al. (1991) text.",No,No
32,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:605,Citation,Major,"The PDF cites Summerson and Hogan 1979 here, but the MDX only includes the raw author-year text without a <Citation> component.","Add <Citation citationKey=""SummersonHogan1979"" /> immediately after the Summerson and Hogan (1979) text.",No,No
33,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:640,Figure,Minor,"The alt text says ""alumnium-zinc"" instead of ""aluminum-zinc"".","Correct the alt text to ""aluminum-zinc"".",No,No
34,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:687,Citation,Major,"The PDF cites Potter et al. 1991 here, but the MDX only includes the raw author-year text without a <Citation> component.","Add <Citation citationKey=""PotterLewandowskiWhite1991"" /> immediately after the Potter et al. 1991 text.",No,No
35,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:687,Citation,Major,"The PDF cites DeCou and Davies 2007 here, but the MDX only includes the raw author-year text without a <Citation> component.","Add <Citation citationKey=""DeCouDavies2007"" /> immediately after the DeCou and Davies 2007 text.",No,No
36,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:689,Citation,Major,"The PDF cites Bonds et al. 2005 here, but the MDX only includes the raw author-year text without a <Citation> component.","Add <Citation citationKey=""BondsEtAl2005"" /> immediately after the Bonds et al. (2005) text.",No,No
37,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:689,Citation,Major,"The PDF cites Potter et al. 1991 here, but the MDX only includes the raw author-year text without a <Citation> component.","Add <Citation citationKey=""PotterLewandowskiWhite1991"" /> immediately after the Potter et al. (1991) text.",No,No
38,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:689,Citation,Major,"The PDF cites Gabriel and Moran 1998 here, but the MDX only includes the raw author-year text without a <Citation> component.","Add <Citation citationKey=""GabrielMoran1998"" /> immediately after the Gabriel and Moran (1998) text.",No,No
39,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:689,Citation,Major,"The PDF cites DeCou and Davies 2007 here, but the MDX only includes the raw author-year text without a <Citation> component.","Add <Citation citationKey=""DeCouDavies2007"" /> immediately after the DeCou and Davies (2007) text.",No,No
40,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/06-concrete-pipe.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/06-concrete-pipe.mdx:49,Citation,Major,"The PDF cites USACE 2020 here, but the MDX only includes the raw author-year text without a <Citation> component.","Add <Citation citationKey=""USACE_EM1110_2_2902_2020"" /> immediately after the USACE 2020 text.",No,No
41,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/06-concrete-pipe.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/06-concrete-pipe.mdx:66,Citation,Major,"The PDF shows a Potter 1988 citation here, but the MDX only includes <Citation citationKey=""Potter1988"" /> without the raw author-year text.","Add the raw author-year text (e.g., ""Potter 1988"") adjacent to the citation component.",No,No
42,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/06-concrete-pipe.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/06-concrete-pipe.mdx:72,Citation,Major,"The PDF shows Hershfield (1974) here, but the MDX only includes <Citation citationKey=""Hershfield1974"" /> without the raw author-year text.","Add the raw author-year text (e.g., ""Hershfield 1974"") adjacent to the citation component.",No,No
43,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/06-concrete-pipe.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/06-concrete-pipe.mdx:78,Citation,Major,"The PDF shows a Potter 1988 citation here, but the MDX only includes <Citation citationKey=""Potter1988"" /> without the raw author-year text.","Add the raw author-year text (e.g., ""Potter 1988"") adjacent to the citation component.",No,No
44,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/06-concrete-pipe.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/06-concrete-pipe.mdx:84,Citation,Major,"The PDF cites Haavik and Mielenz 1991 here, but the MDX only includes the raw author-year text without a <Citation> component.","Add <Citation citationKey=""HaavikMielenz1991"" /> immediately after the Haavik and Mielenz 1991 text.",No,No
45,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/07-iron-pipe.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/07-iron-pipe.mdx:97,Citation,Major,"The PDF cites Gabriel and Moran 1998 here, but the MDX only includes the raw author-year text without a <Citation> component.","Add <Citation citationKey=""GabrielMoran1998"" /> immediately after the Gabriel and Moran 1998 text.",No,No
46,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/07-iron-pipe.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/07-iron-pipe.mdx:98,Citation,Major,"The PDF shows Kroon et al. 2004 here, but the MDX only includes <Citation citationKey=""Kroon2004"" /> without the raw author-year text.","Add the raw author-year text (e.g., ""Kroon et al. 2004"") adjacent to the citation component.",No,No
47,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/07-iron-pipe.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/07-iron-pipe.mdx:98,Citation,Major,"The PDF shows Potter 1988 here, but the MDX only includes <Citation citationKey=""Potter1988"" /> without the raw author-year text.","Add the raw author-year text (e.g., ""Potter 1988"") adjacent to the citation component.",No,No
48,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/07-iron-pipe.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/07-iron-pipe.mdx:120,Citation,Major,"The PDF shows Kroon et al. 2004 here, but the MDX only includes <Citation citationKey=""Kroon2004"" /> without the raw author-year text.","Add the raw author-year text (e.g., ""Kroon et al. 2004"") adjacent to the citation component.",No,No
49,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/07-iron-pipe.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/07-iron-pipe.mdx:120,Citation,Major,"The PDF cites Bonds et al. 2005 here, but the MDX only includes the raw author-year text without a <Citation> component.","Add <Citation citationKey=""BondsEtAl2005"" /> immediately after the Bonds et al. (2005) text.",No,No
50,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/07-iron-pipe.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/07-iron-pipe.mdx:120,Citation,Major,"The PDF cites Gabriel and Moran 1998 here, but the MDX only includes the raw author-year text without a <Citation> component.","Add <Citation citationKey=""GabrielMoran1998"" /> immediately after the Gabriel and Moran (1998) text.",No,No
51,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/07-iron-pipe.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/07-iron-pipe.mdx:121,Citation,Major,"The PDF cites DIPRA 2017 here, but the MDX only includes the raw author-year text without a <Citation> component.","Add <Citation citationKey=""DIPRA_PolyEnc2017"" /> immediately after the DIPRA (2017) text.",No,No
52,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/07-iron-pipe.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/07-iron-pipe.mdx:121,Citation,Major,"The PDF cites Szeliga and Simpson 2003 here, but the MDX only includes the raw author-year text without a <Citation> component.","Add <Citation citationKey=""SzeligaSimpson2003"" /> immediately after the Szeliga and Simpson (2003) text.",No,No
53,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/08-plastic-pipe.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/08-plastic-pipe.mdx:29,Citation,Major,"The PDF shows a Potter 1988 citation here, but the MDX only includes <Citation citationKey=""Potter1988"" /> without the raw author-year text.","Add the raw author-year text (e.g., ""Potter 1988"") adjacent to the citation component.",No,No
54,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/08-plastic-pipe.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/08-plastic-pipe.mdx:33,Citation,Major,"The PDF shows Gassman et al. (2005) here, but the MDX only includes <Citation citationKey=""Gassman2005"" /> without the raw author-year text.","Add the raw author-year text (e.g., ""Gassman et al. 2005"") adjacent to the citation component.",No,No
55,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/08-plastic-pipe.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/08-plastic-pipe.mdx:33,Citation,Major,"The PDF cites Nelson and Krauss 2002 here, but the MDX only includes the raw author-year text without a <Citation> component.","Add <Citation citationKey=""NelsonKrauss2002"" /> immediately after the Nelson and Krauss (2002) text.",No,No
56,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/08-plastic-pipe.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/08-plastic-pipe.mdx:50,Citation,Major,"The PDF shows a Potter 1988 citation here, but the MDX only includes <Citation citationKey=""Potter1988"" /> without the raw author-year text.","Add the raw author-year text (e.g., ""Potter 1988"") adjacent to the citation component.",No,No
57,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/09-clay-pipe.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/09-clay-pipe.mdx:30,Citation,Major,"The PDF cites Gabriel and Moran 1998 here, but the MDX only includes the raw author-year text without a <Citation> component.","Add <Citation citationKey=""GabrielMoran1998"" /> immediately after the Gabriel and Moran 1998 text.",No,No
58,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/09-clay-pipe.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/09-clay-pipe.mdx:30,Citation,Major,"The PDF shows Potter 1988 here, but the MDX only includes <Citation citationKey=""Potter1988"" /> without the raw author-year text.","Add the raw author-year text (e.g., ""Potter 1988"") adjacent to the citation component.",No,No
59,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/09-clay-pipe.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/09-clay-pipe.mdx:55,Citation,Major,"The PDF shows a Potter 1988 citation here, but the MDX only includes <Citation citationKey=""Potter1988"" /> without the raw author-year text.","Add the raw author-year text (e.g., ""Potter 1988"") adjacent to the citation component.",No,No
